date,denomination_code,denomination,denomination_value,actual_value_rm_million,actual_quantity_million_notes,data_split
2001-01-01,note_1,RM1,1,623.2,623.2,Train
2001-02-01,note_1,RM1,1,540.9,540.9,Train
2001-03-01,note_1,RM1,1,490.2,490.2,Train
2001-04-01,note_1,RM1,1,462.5,462.5,Train
2001-05-01,note_1,RM1,1,449.1,449.1,Train
2001-06-01,note_1,RM1,1,441.4,441.4,Train
2001-07-01,note_1,RM1,1,438.2,438.2,Train
2001-08-01,note_1,RM1,1,442.5,442.5,Train
2001-09-01,note_1,RM1,1,445.2,445.2,Train
2001-10-01,note_1,RM1,1,447.0,447.0,Train
2001-11-01,note_1,RM1,1,519.9,519.9,Train
2001-12-01,note_1,RM1,1,607.3,607.3,Train
2002-01-01,note_1,RM1,1,755.6,755.6,Train
2002-02-01,note_1,RM1,1,728.3,728.3,Train
2002-03-01,note_1,RM1,1,658.1,658.1,Train
2002-04-01,note_1,RM1,1,618.5,618.5,Train
2002-05-01,note_1,RM1,1,601.9,601.9,Train
2002-06-01,note_1,RM1,1,590.0,590.0,Train
2002-07-01,note_1,RM1,1,584.8,584.8,Train
2002-08-01,note_1,RM1,1,584.6,584.6,Train
2002-09-01,note_1,RM1,1,586.4,586.4,Train
2002-10-01,note_1,RM1,1,603.7,603.7,Train
2002-11-01,note_1,RM1,1,770.0,770.0,Train
2002-12-01,note_1,RM1,1,763.3,763.3,Train
2003-01-01,note_1,RM1,1,959.5,959.5,Train
2003-02-01,note_1,RM1,1,874.4,874.4,Train
2003-03-01,note_1,RM1,1,806.0,806.0,Train
2003-04-01,note_1,RM1,1,763.5,763.5,Train
2003-05-01,note_1,RM1,1,743.7,743.7,Train
2003-06-01,note_1,RM1,1,732.3,732.3,Train
2003-07-01,note_1,RM1,1,723.7,723.7,Train
2003-08-01,note_1,RM1,1,721.6,721.6,Train
2003-09-01,note_1,RM1,1,722.8,722.8,Train
2003-10-01,note_1,RM1,1,731.8,731.8,Train
2003-11-01,note_1,RM1,1,904.7,904.7,Train
2003-12-01,note_1,RM1,1,872.5,872.5,Train
2004-01-01,note_1,RM1,1,1075.9,1075.9,Train
2004-02-01,note_1,RM1,1,968.1,968.1,Train
2004-03-01,note_1,RM1,1,901.5,901.5,Train
2004-04-01,note_1,RM1,1,868.6,868.6,Train
2004-05-01,note_1,RM1,1,848.8,848.8,Train
2004-06-01,note_1,RM1,1,834.9,834.9,Train
2004-07-01,note_1,RM1,1,826.7,826.7,Train
2004-08-01,note_1,RM1,1,822.4,822.4,Train
2004-09-01,note_1,RM1,1,821.6,821.6,Train
2004-10-01,note_1,RM1,1,975.1,975.1,Train
2004-11-01,note_1,RM1,1,1002.1,1002.1,Train
2004-12-01,note_1,RM1,1,938.4,938.4,Train
2005-01-01,note_1,RM1,1,1129.0,1129.0,Train
2005-02-01,note_1,RM1,1,1076.5,1076.5,Train
2005-03-01,note_1,RM1,1,982.7,982.7,Train
2005-04-01,note_1,RM1,1,938.1,938.1,Train
2005-05-01,note_1,RM1,1,909.7,909.7,Train
2005-06-01,note_1,RM1,1,889.5,889.5,Train
2005-07-01,note_1,RM1,1,878.6,878.6,Train
2005-08-01,note_1,RM1,1,872.8,872.8,Train
2005-09-01,note_1,RM1,1,881.1,881.1,Train
2005-10-01,note_1,RM1,1,1089.3,1089.3,Train
2005-11-01,note_1,RM1,1,1032.2,1032.2,Train
2005-12-01,note_1,RM1,1,980.1,980.1,Train
2006-01-01,note_1,RM1,1,1209.0,1209.0,Train
2006-02-01,note_1,RM1,1,1103.2,1103.2,Train
2006-03-01,note_1,RM1,1,1034.1,1034.1,Train
2006-04-01,note_1,RM1,1,1002.8,1002.8,Train
2006-05-01,note_1,RM1,1,978.4,978.4,Train
2006-06-01,note_1,RM1,1,967.9,967.9,Train
2006-07-01,note_1,RM1,1,959.7,959.7,Train
2006-08-01,note_1,RM1,1,955.6,955.6,Train
2006-09-01,note_1,RM1,1,964.2,964.2,Train
2006-10-01,note_1,RM1,1,1194.8,1194.8,Train
2006-11-01,note_1,RM1,1,1099.9,1099.9,Train
2006-12-01,note_1,RM1,1,1060.6,1060.6,Train
2007-01-01,note_1,RM1,1,1182.9,1182.9,Train
2007-02-01,note_1,RM1,1,1250.5,1250.5,Train
2007-03-01,note_1,RM1,1,1154.5,1154.5,Train
2007-04-01,note_1,RM1,1,1109.2,1109.2,Train
2007-05-01,note_1,RM1,1,1077.7,1077.7,Train
2007-06-01,note_1,RM1,1,1062.8,1062.8,Train
2007-07-01,note_1,RM1,1,1051.7,1051.7,Train
2007-08-01,note_1,RM1,1,1052.4,1052.4,Train
2007-09-01,note_1,RM1,1,1225.4,1225.4,Train
