date,year,month,quarter,month_sin,month_cos,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12
2001-01-01,2001,1,1,0.49999999999999994,0.8660254037844387,2,0,3,0,1,0,24484.0,20343.600000000002,20147.8,24419.699999999997,23429.466666666664,21907.283333333336,21162.033333333336
2001-02-01,2001,2,1,0.8660254037844386,0.5000000000000001,0,2,2,0,0,0,25234.2,20570.2,20525.4,21429.199999999997,23903.066666666666,22151.550000000003,21208.850000000002
2001-03-01,2001,3,1,1.0,6.123233995736766e-17,2,0,0,0,0,0,21991.0,24484.0,20286.3,20427.8,22954.5,22376.883333333335,21309.725000000002
2001-04-01,2001,4,2,0.8660254037844387,-0.4999999999999998,0,2,2,0,0,0,21638.300000000003,25234.2,20343.600000000002,20208.6,21725.666666666668,22577.566666666666,21421.31666666667
2001-05-01,2001,5,2,0.49999999999999994,-0.8660254037844387,2,2,0,0,0,0,21547.7,21991.0,20570.2,20167.8,21629.466666666667,22766.266666666666,21549.2
2001-06-01,2001,6,2,1.2246467991473532e-16,-1.0,2,0,2,0,0,0,21702.4,21638.300000000003,24484.0,20119.5,21522.2,22238.350000000002,21648.95
2001-07-01,2001,7,3,-0.4999999999999997,-0.8660254037844388,0,1,2,0,0,0,21316.5,21547.7,25234.2,20147.8,21438.7,21582.183333333334,21744.733333333334
2001-08-01,2001,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,21297.2,21702.4,21991.0,20525.4,21554.966666666667,21592.21666666667,21871.883333333335
2001-09-01,2001,9,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,22051.2,21316.5,21638.300000000003,20286.3,21770.399999999998,21646.3,22011.59166666667
2001-10-01,2001,10,4,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,21962.8,21297.2,21547.7,20343.600000000002,21953.800000000003,21696.250000000004,22136.908333333336
2001-11-01,2001,11,4,-0.5000000000000004,0.8660254037844384,0,3,0,0,0,0,21847.4,22051.2,21702.4,20570.2,22133.266666666666,21844.116666666665,22305.191666666666
2001-12-01,2001,12,4,-2.4492935982947064e-16,1.0,3,0,0,1,0,0,22589.6,21962.8,21316.5,24484.0,22623.699999999997,22197.05,22217.7
2002-01-01,2002,1,1,0.49999999999999994,0.8660254037844387,0,3,3,0,0,0,23434.1,21847.4,21297.2,25234.2,23770.100000000002,22861.95,22222.066666666666
