date,model,denomination_code,denomination,denomination_value,actual_value_rm_million,forecast_value_rm_million,actual_quantity_million_notes,forecast_quantity_million_notes,error_value_rm_million,absolute_error_value_rm_million,percentage_error
2021-02-01,SMA,note_1,RM1,1,2790.016779,2716.5572370000004,2790.016779,2716.5572370000004,73.4595419999996,73.4595419999996,0.026329426601631057
2021-03-01,SMA,note_1,RM1,1,2775.8663245,2755.0294966666665,2775.8663245,2755.0294966666665,20.836827833333246,20.836827833333246,0.007506423363915573
2021-04-01,SMA,note_1,RM1,1,3001.723709,2787.9335974999995,3001.723709,2787.9335974999995,213.79011150000042,213.79011150000042,0.07122244824165475
2021-05-01,SMA,note_1,RM1,1,3012.6662655,2855.8689374999994,3012.6662655,2855.8689374999994,156.79732800000056,156.79732800000056,0.05204603304242116
2021-06-01,SMA,note_1,RM1,1,2983.81815,2930.085433,2983.81815,2930.085433,53.732716999999866,53.732716999999866,0.018008040134751463
2021-07-01,SMA,note_1,RM1,1,2958.804983,2999.402708166667,2958.804983,2999.402708166667,-40.597725166666805,40.597725166666805,0.013720987155261528
2021-08-01,SMA,note_1,RM1,1,2942.0285525,2985.096466166667,2942.0285525,2985.096466166667,-43.06791366666721,43.06791366666721,0.014638849657006247
2021-09-01,SMA,note_1,RM1,1,2920.5891615,2961.5505618333336,2920.5891615,2961.5505618333336,-40.961400333333586,40.961400333333586,0.014025047025887069
2021-10-01,SMA,note_1,RM1,1,2911.937547,2940.4742323333335,2911.937547,2940.4742323333335,-28.53668533333348,28.53668533333348,0.009799896073572446
2021-11-01,SMA,note_1,RM1,1,2909.622096,2924.8517536666664,2909.622096,2924.8517536666664,-15.229657666666299,15.229657666666299,0.005234239074415627
2021-12-01,SMA,note_1,RM1,1,2948.8807235,2914.0496015000003,2948.8807235,2914.0496015000003,34.831121999999596,34.831121999999596,0.011811641522977182
2022-01-01,SMA,note_1,RM1,1,3042.8366285,2923.480122166666,3042.8366285,2923.480122166666,119.35650633333398,119.35650633333398,0.039225407376593885
2022-02-01,SMA,note_1,RM1,1,3020.4277965,2967.1131493333337,3020.4277965,2967.1131493333337,53.31464716666642,53.31464716666642,0.017651356284181387
2022-03-01,SMA,note_1,RM1,1,3078.1107755,3004.048382833333,3078.1107755,3004.048382833333,74.06239266666671,74.06239266666671,0.024060990025492574
2022-04-01,SMA,note_1,RM1,1,3267.546536,3047.1250668333337,3267.546536,3047.1250668333337,220.42146916666616,220.42146916666616,0.06745779034458597
2022-05-01,SMA,note_1,RM1,1,3264.704689,3122.028369333333,3264.704689,3122.028369333333,142.67631966666704,142.67631966666704,0.04370267244917938
2022-06-01,SMA,note_1,RM1,1,3225.588322,3203.4540001666664,3225.588322,3203.4540001666664,22.134321833333615,22.134321833333615,0.0068621037850265425
2022-07-01,SMA,note_1,RM1,1,3184.3508815,3252.613182333333,3184.3508815,3252.613182333333,-68.26230083333303,68.26230083333303,0.0214368024673141
2022-08-01,SMA,note_1,RM1,1,3124.370902,3224.8812975,3124.370902,3224.8812975,-100.51039549999996,100.51039549999996,0.03216980270673381
2022-09-01,SMA,note_1,RM1,1,3079.5521745,3178.1033685,3079.5521745,3178.1033685,-98.55119400000012,98.55119400000012,0.0320017939023881
2022-10-01,SMA,note_1,RM1,1,3053.5370025,3129.4246526666666,3053.5370025,3129.4246526666666,-75.88765016666639,75.88765016666639,0.024852376147574254
2022-11-01,SMA,note_1,RM1,1,3033.295173,3085.8200263333333,3033.295173,3085.8200263333333,-52.52485333333334,52.52485333333334,0.017316103556577065
2022-12-01,SMA,note_1,RM1,1,3111.135887,3055.4614500000002,3111.135887,3055.4614500000002,55.67443699999967,55.67443699999967,0.017895212238281662
2023-01-01,SMA,note_1,RM1,1,3155.381271,3065.9893541666665,3155.381271,3065.9893541666665,89.39191683333365,89.39191683333365,0.028329989042814994
2023-02-01,SMA,note_1,RM1,1,3117.67962,3099.937443666667,3117.67962,3099.937443666667,17.742176333332736,17.742176333332736,0.005690827312568036
2023-03-01,SMA,note_1,RM1,1,3343.8096755,3128.0655926666664,3343.8096755,3128.0655926666664,215.74408283333378,215.74408283333378,0.06452044337752971
2023-04-01,SMA,note_1,RM1,1,3462.6475035,3205.6235221666666,3462.6475035,3205.6235221666666,257.02398133333327,257.02398133333327,0.07422759061485083
2023-05-01,SMA,note_1,RM1,1,3421.424783,3308.0455996666665,3421.424783,3308.0455996666665,113.37918333333346,113.37918333333346,0.033138002593737996
2023-06-01,SMA,note_1,RM1,1,3353.004177,3409.293987333333,3353.004177,3409.293987333333,-56.28981033333321,56.28981033333321,0.016787873608823486
2023-07-01,SMA,note_1,RM1,1,3267.7879585,3412.3588211666665,3267.7879585,3412.3588211666665,-144.57086266666647,144.57086266666647,0.0442412006233808
2023-08-01,SMA,note_1,RM1,1,3143.709253,3347.4056394999993,3143.709253,3347.4056394999993,-203.69638649999933,203.69638649999933,0.06479491902936461
2023-09-01,SMA,note_1,RM1,1,3068.301169,3254.833796166667,3068.301169,3254.833796166667,-186.53262716666723,186.53262716666723,0.06079345438813644
2023-10-01,SMA,note_1,RM1,1,3029.932712,3159.9327935,3029.932712,3159.9327935,-130.0000815000003,130.0000815000003,0.04290527013525319
2023-11-01,SMA,note_1,RM1,1,3006.4198215,3080.647711333333,3006.4198215,3080.647711333333,-74.22788983333294,74.22788983333294,0.024689795251648602
2023-12-01,SMA,note_1,RM1,1,3029.565142,3034.8845675,3029.565142,3034.8845675,-5.319425499999852,5.319425499999852,0.001755837967058261
2024-01-01,SMA,note_1,RM1,1,3127.3013885,3021.9725584999996,3127.3013885,3021.9725584999996,105.32883000000038,105.32883000000038,0.03368042184463743
2024-02-01,SMA,note_1,RM1,1,3093.8765985,3054.4287839999997,3093.8765985,3054.4287839999997,39.44781450000028,39.44781450000028,0.012750286976256813
2024-03-01,SMA,note_1,RM1,1,3448.5535915,3083.581043,3448.5535915,3083.581043,364.9725484999999,364.9725484999999,0.10583351507124168
2024-04-01,SMA,note_1,RM1,1,3469.021618,3223.2438595000003,3469.021618,3223.2438595000003,245.7777584999999,245.7777584999999,0.07084930149316812
2024-05-01,SMA,note_1,RM1,1,3375.5473775,3337.150602666667,3375.5473775,3337.150602666667,38.396774833332984,38.396774833332984,0.011374977311611733
2024-06-01,SMA,note_1,RM1,1,3313.687856,3431.0408623333333,3313.687856,3431.0408623333333,-117.35300633333327,117.35300633333327,0.03541462305233293
2024-07-01,SMA,note_1,RM1,1,3232.286078,3386.085617166667,3232.286078,3386.085617166667,-153.79953916666682,153.79953916666682,0.04758227936984816
2024-08-01,SMA,note_1,RM1,1,3183.07128,3307.1737705,3183.07128,3307.1737705,-124.10249049999993,124.10249049999993,0.03898828508169629
2024-09-01,SMA,note_1,RM1,1,3158.28922,3243.0150713333333,3158.28922,3243.0150713333333,-84.72585133333314,84.72585133333314,0.026826501764563897
2024-10-01,SMA,note_1,RM1,1,3127.9969355,3191.215526,3127.9969355,3191.215526,-63.21859050000012,63.21859050000012,0.0202105666353202
2024-11-01,SMA,note_1,RM1,1,3109.9682245,3156.4524785,3109.9682245,3156.4524785,-46.484253999999964,46.484253999999964,0.01494685818131579
2024-12-01,SMA,note_1,RM1,1,3155.541517,3132.0847933333334,3155.541517,3132.0847933333334,23.456723666666676,23.456723666666676,0.007433501838051296
2025-01-01,SMA,note_1,RM1,1,3211.267151,3131.168892333333,3211.267151,3131.168892333333,80.09825866666688,80.09825866666688,0.02494288232659933
2025-02-01,SMA,note_1,RM1,1,3330.2800305,3158.9256308333333,3330.2800305,3158.9256308333333,171.35439966666672,171.35439966666672,0.05145345079012469
2025-03-01,SMA,note_1,RM1,1,3523.4432705,3232.3628995,3523.4432705,3232.3628995,291.080371,291.080371,0.08261247553978464
