model,denomination_code,denomination,MAPE,RMSE
ARIMA,note_1,RM1,0.1344781286811648,473.83807346504193
ARIMA,note_10,RM10,0.1256760052124934,1210.1936949049266
ARIMA,note_100,RM100,0.1902260809683557,16913.90847709673
ARIMA,note_20,RM20,0.08784880707179227,499.66399515503895
ARIMA,note_5,RM5,0.15476884270663652,566.6674942185135
ARIMA,note_50,RM50,0.15287908823989943,10897.111423527114
Auto-ARIMA (seasonal),note_1,RM1,0.046443348419708756,187.19119381686912
Auto-ARIMA (seasonal),note_10,RM10,0.028608737862707775,330.62968070666307
Auto-ARIMA (seasonal),note_100,RM100,0.3121010573211149,28505.65953193989
Auto-ARIMA (seasonal),note_20,RM20,0.2811323374211353,1428.9709495219952
Auto-ARIMA (seasonal),note_5,RM5,0.10104688312611514,376.49880660966454
Auto-ARIMA (seasonal),note_50,RM50,0.06646629408082454,5351.186063364663
Auto-SARIMAX,note_1,RM1,0.04344606563644908,175.45013954136795
Auto-SARIMAX,note_10,RM10,0.024193356409237542,285.8261850077505
Auto-SARIMAX,note_100,RM100,0.2944075149277715,27074.8560824482
Auto-SARIMAX,note_20,RM20,0.04186282585721168,210.8453313171606
Auto-SARIMAX,note_5,RM5,0.05606124331360011,226.11693808058914
Auto-SARIMAX,note_50,RM50,0.07574280759695234,5755.498494679387
LSTM,note_1,RM1,0.0307933007168104,124.51521361231651
LSTM,note_10,RM10,0.1060058745459714,963.0640030642726
LSTM,note_100,RM100,0.0500856455850342,3805.746871194442
LSTM,note_20,RM20,0.146289781397221,677.8926370997647
LSTM,note_5,RM5,0.06342472096384076,252.97070690638245
LSTM,note_50,RM50,0.19726906331674623,13958.7000122097
Prophet,note_1,RM1,0.040730853464373176,161.63430480521896
Prophet,note_10,RM10,0.054646743005152786,542.2081971502868
Prophet,note_100,RM100,0.08368475722585078,7145.182115953991
Prophet,note_20,RM20,0.0727333334150741,357.39532997694903
Prophet,note_5,RM5,0.03726812781114728,161.88961985361604
Prophet,note_50,RM50,0.1469548303276464,11083.039292594678
Random Forest,note_1,RM1,0.13021847863111596,455.05814451454444
Random Forest,note_10,RM10,0.10442771097196175,1040.1131844641206
Random Forest,note_100,RM100,0.20137138627540233,17636.921980020943
Random Forest,note_20,RM20,0.11494116331213862,585.8072454805279
Random Forest,note_5,RM5,0.14546946772054103,530.7220008010564
Random Forest,note_50,RM50,0.15016916436535174,10694.724951892544
SARIMA,note_1,RM1,0.04915239017025492,190.5482978974405
SARIMA,note_10,RM10,0.02401294615224666,267.6355786056865
SARIMA,note_100,RM100,0.06918750486355733,5905.4027443052855
SARIMA,note_20,RM20,0.08126639714086024,401.68355414528656
SARIMA,note_5,RM5,0.0643269410626685,242.6849311886176
SARIMA,note_50,RM50,0.07127751064654013,5690.069865139109
SARIMAX,note_1,RM1,0.03758039854884367,156.72421733120203
SARIMAX,note_10,RM10,0.029896461931629714,288.24898042132764
SARIMAX,note_100,RM100,0.06461581504038286,5510.212511439026
SARIMAX,note_20,RM20,0.08222213928646002,405.2960341607609
SARIMAX,note_5,RM5,0.05675929931874019,219.0010440162199
SARIMAX,note_50,RM50,0.07550646265871375,5793.198270580212
SMA,note_1,RM1,0.03262637127946659,131.84714964696926
SMA,note_10,RM10,0.041019194276719496,433.3619539092331
SMA,note_100,RM100,0.01616691418764933,1501.9191556016938
SMA,note_20,RM20,0.030858826105155286,167.55725279544896
SMA,note_5,RM5,0.043149370903489095,166.33247247291547
SMA,note_50,RM50,0.023676512884455273,2113.9509139240963
Tuned Random Forest,note_1,RM1,0.13019652059344203,454.84685454685336
Tuned Random Forest,note_10,RM10,0.10428114548584551,1038.8788018309508
Tuned Random Forest,note_100,RM100,0.20013089986445634,17559.147197593185
Tuned Random Forest,note_20,RM20,0.11531861091453711,586.8486272837099
Tuned Random Forest,note_5,RM5,0.1460292465104753,532.3120609927745
Tuned Random Forest,note_50,RM50,0.15103445355975526,10750.557224076181
