date,note_1,note_10,note_100,note_20,note_5,note_50,year,month,quarter,month_sin,month_cos,banknote_total,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali
2001-01-01,623.2,2616.2,8376.3,78.4,740.6,12799.5,2001,1,1,0.49999999999999994,0.8660254037844387,25234.2,24484.0,20343.600000000002,20147.8,24419.699999999997,23429.466666666664,21907.283333333336,21162.033333333336,2,0,3,0,1,0
2001-02-01,540.9,2270.6,7557.5,78.2,644.5,10899.3,2001,2,1,0.8660254037844386,0.5000000000000001,21991.0,25234.2,20570.2,20525.4,21429.199999999997,23903.066666666666,22151.550000000003,21208.850000000002,0,2,2,0,0,0
2001-03-01,490.2,2148.1,7404.4,78.0,592.5,10925.1,2001,3,1,1.0,6.123233995736766e-17,21638.300000000003,21991.0,24484.0,20286.3,20427.8,22954.5,22376.883333333335,21309.725000000002,2,0,0,0,0,0
2001-04-01,462.5,2101.7,7402.8,77.7,563.1,10939.9,2001,4,2,0.8660254037844387,-0.4999999999999998,21547.7,21638.300000000003,25234.2,20343.600000000002,20208.6,21725.666666666668,22577.566666666666,21421.31666666667,0,2,2,0,0,0
2001-05-01,449.1,2081.0,7444.5,77.4,545.9,11104.5,2001,5,2,0.49999999999999994,-0.8660254037844387,21702.4,21547.7,21991.0,20570.2,20167.8,21629.466666666667,22766.266666666666,21549.2,2,2,0,0,0,0
2001-06-01,441.4,2068.7,7307.8,77.3,533.8,10887.5,2001,6,2,1.2246467991473532e-16,-1.0,21316.5,21702.4,21638.300000000003,24484.0,20119.5,21522.2,22238.350000000002,21648.95,2,0,2,0,0,0
2001-07-01,438.2,2066.1,7308.1,77.0,526.8,10881.0,2001,7,3,-0.4999999999999997,-0.8660254037844388,21297.2,21316.5,21547.7,25234.2,20147.8,21438.7,21582.183333333334,21744.733333333334,0,1,2,0,0,0
2001-08-01,442.5,2107.8,7460.3,76.8,523.7,11440.1,2001,8,3,-0.8660254037844384,-0.5000000000000004,22051.2,21297.2,21702.4,21991.0,20525.4,21554.966666666667,21592.21666666667,21871.883333333335,1,0,0,0,0,0
2001-09-01,445.2,2098.2,7489.3,76.7,520.0,11333.4,2001,9,3,-1.0,-1.8369701987210297e-16,21962.8,22051.2,21316.5,21638.300000000003,20286.3,21770.399999999998,21646.3,22011.59166666667,0,0,1,0,0,0
2001-10-01,447.0,2085.0,7402.0,76.5,514.1,11322.8,2001,10,4,-0.8660254037844386,0.5000000000000001,21847.4,21962.8,21297.2,21547.7,20343.600000000002,21953.800000000003,21696.250000000004,22136.908333333336,0,0,0,0,0,0
2001-11-01,519.9,2173.1,7482.6,76.4,551.7,11785.9,2001,11,4,-0.5000000000000004,0.8660254037844384,22589.6,21847.4,22051.2,21702.4,20570.2,22133.266666666666,21844.116666666665,22305.191666666666,0,3,0,0,0,0
2001-12-01,607.3,2266.4,7618.4,76.4,603.6,12262.0,2001,12,4,-2.4492935982947064e-16,1.0,23434.1,22589.6,21962.8,21316.5,24484.0,22623.699999999997,22197.05,22217.7,3,0,0,1,0,0
2002-01-01,755.6,2587.2,8069.6,76.3,728.5,13069.4,2002,1,1,0.49999999999999994,0.8660254037844387,25286.6,23434.1,21847.4,21297.2,25234.2,23770.100000000002,22861.95,22222.066666666666,0,3,3,0,0,0
2002-02-01,728.3,2544.1,7979.5,76.2,714.9,12601.8,2002,2,1,0.8660254037844386,0.5000000000000001,24644.8,25286.6,22589.6,22051.2,21991.0,24455.166666666668,23294.216666666664,22443.216666666664,3,1,0,0,1,0
2002-03-01,658.1,2321.2,7703.2,76.0,644.3,12288.1,2002,3,1,1.0,6.123233995736766e-17,23690.9,24644.8,23434.1,21962.8,21638.300000000003,24540.766666666666,23582.233333333334,22614.266666666666,1,0,3,0,0,0
2002-04-01,618.5,2249.1,7741.1,76.0,610.5,12302.6,2002,4,2,0.8660254037844387,-0.4999999999999998,23597.800000000003,23690.9,25286.6,21847.4,21547.7,23977.833333333332,23873.966666666664,22785.108333333334,0,3,1,0,0,0
2002-05-01,601.9,2233.6,7834.8,75.8,592.8,12731.7,2002,5,2,0.49999999999999994,-0.8660254037844387,24070.600000000002,23597.800000000003,24644.8,22589.6,21702.4,23786.433333333334,24120.800000000003,22982.458333333332,3,1,0,0,0,0
2002-06-01,590.0,2201.5,7748.4,75.7,577.6,12283.8,2002,6,2,1.2246467991473532e-16,-1.0,23477.0,24070.600000000002,23690.9,23434.1,21316.5,23715.133333333335,24127.95,23162.5,1,0,3,0,0,0
2002-07-01,584.8,2197.9,7713.3,75.7,569.3,12123.6,2002,7,3,-0.4999999999999997,-0.8660254037844388,23264.6,23477.0,23597.800000000003,25286.6,21297.2,23604.066666666666,23790.95,23326.449999999997,0,1,1,0,0,0
2002-08-01,584.6,2205.1,7724.4,75.5,565.9,12350.8,2002,8,3,-0.8660254037844384,-0.5000000000000004,23506.3,23264.6,24070.600000000002,24644.8,22051.2,23415.966666666664,23601.2,23447.708333333332,1,0,0,0,0,0
2002-09-01,586.4,2199.7,7711.6,75.5,562.4,12288.0,2002,9,3,-1.0,-1.8369701987210297e-16,23423.6,23506.3,23477.0,23690.9,21962.8,23398.166666666668,23556.650000000005,23569.441666666666,0,0,1,0,0,0
2002-10-01,603.7,2210.4,7739.3,75.3,563.2,12519.0,2002,10,4,-0.8660254037844386,0.5000000000000001,23710.9,23423.6,23264.6,23597.800000000003,21847.4,23546.933333333334,23575.5,23724.733333333334,0,0,0,0,0,0
2002-11-01,770.0,2413.4,8043.9,75.3,633.2,13504.5,2002,11,4,-0.5000000000000004,0.8660254037844384,25440.300000000003,23710.9,23506.3,24070.600000000002,22589.6,24191.600000000002,23803.783333333336,23962.291666666668,0,3,0,0,0,0
